time_lookup time_connect time_appconnect time_pretransfer time_redirect timestarttransfer time_total
0.000 0.002 0.161 0.162 0.000 0.200 0.200
0.000 0.002 0.157 0.157 0.000 0.194 0.194
0.000 0.002 0.152 0.152 0.000 0.198 0.198
0.000 0.002 0.163 0.163 0.000 0.199 0.199
0.000 0.002 0.163 0.163 0.000 0.201 0.201
0.000 0.002 0.160 0.160 0.000 0.197 0.197
0.000 0.002 0.161 0.161 0.000 0.195 0.195
0.000 0.002 0.160 0.160 0.000 0.198 0.198
0.000 0.002 0.162 0.162 0.000 0.198 0.198
0.000 0.002 0.160 0.160 0.000 0.195 0.195
0.000 0.002 0.164 0.164 0.000 0.199 0.199
0.000 0.002 0.181 0.182 0.000 0.217 0.217
0.000 0.002 0.165 0.165 0.000 0.200 0.201
0.000 0.002 0.157 0.157 0.000 0.193 0.194
0.000 0.002 0.169 0.169 0.000 0.206 0.206
0.000 0.002 0.153 0.153 0.000 0.194 0.234
0.000 0.002 0.155 0.155 0.000 0.192 0.192
0.000 0.002 0.161 0.161 0.000 0.198 0.198
0.000 0.002 0.158 0.158 0.000 0.198 0.198
0.000 0.002 0.155 0.155 0.000 0.193 0.193
0.000 0.002 0.159 0.159 0.000 0.197 0.197
0.000 0.002 0.162 0.162 0.000 0.200 0.200
0.000 0.002 0.151 0.151 0.000 0.187 0.187
0.000 0.002 0.158 0.158 0.000 0.193 0.194
0.000 0.002 0.155 0.155 0.000 0.191 0.191
0.000 0.002 0.160 0.160 0.000 0.199 0.199
0.000 0.002 0.154 0.154 0.000 0.200 0.201
0.000 0.002 0.159 0.159 0.000 0.193 0.193
0.000 0.004 0.162 0.162 0.000 0.204 0.204
0.000 0.002 0.134 0.134 0.000 0.167 0.167
0.000 0.002 0.154 0.154 0.000 0.190 0.190
0.000 0.002 0.159 0.159 0.000 0.199 0.199
0.000 0.002 0.154 0.154 0.000 0.192 0.232
0.000 0.002 0.162 0.162 0.000 0.196 0.196
0.000 0.002 0.156 0.156 0.000 0.191 0.191
0.000 0.002 0.154 0.154 0.000 0.192 0.192
0.000 0.002 0.153 0.153 0.000 0.354 0.354
0.000 0.002 0.159 0.159 0.000 0.195 0.195
0.000 0.002 0.151 0.151 0.000 0.188 0.188
0.000 0.002 0.166 0.166 0.000 0.204 0.204
0.000 0.002 0.178 0.178 0.000 0.216 0.216
0.000 0.002 0.163 0.163 0.000 0.200 0.200
0.000 0.002 0.163 0.163 0.000 0.203 0.203
0.000 0.002 0.155 0.155 0.000 0.190 0.190
0.000 0.002 0.154 0.154 0.000 0.191 0.191
0.000 0.002 0.157 0.157 0.000 0.197 0.197
0.000 0.002 0.147 0.147 0.000 0.182 0.182
0.000 0.002 0.157 0.157 0.000 0.191 0.191
0.000 0.002 0.159 0.159 0.000 0.197 0.237
0.000 0.002 0.156 0.156 0.000 0.192 0.192
0.000 0.002 0.160 0.160 0.000 0.203 0.203
0.000 0.003 0.155 0.155 0.000 0.191 0.191
0.000 0.002 0.152 0.153 0.000 0.190 0.190
0.000 0.002 0.170 0.170 0.000 0.204 0.204
0.000 0.002 0.161 0.161 0.000 0.197 0.197
0.000 0.002 0.176 0.176 0.000 0.212 0.212
0.000 0.002 0.158 0.158 0.000 0.194 0.194
0.000 0.002 0.175 0.175 0.000 0.296 0.296
0.000 0.002 0.157 0.157 0.000 0.190 0.190
0.000 0.002 0.165 0.165 0.000 0.206 0.206
0.000 0.002 0.155 0.155 0.000 0.192 0.192
0.000 0.002 0.164 0.165 0.000 0.206 0.206
0.000 0.002 0.170 0.170 0.000 0.207 0.207
0.000 0.002 0.161 0.161 0.000 0.196 0.196
0.000 0.002 0.161 0.161 0.000 0.196 0.196
0.000 0.002 0.162 0.162 0.000 0.198 0.199
0.000 0.002 0.157 0.157 0.000 0.194 0.195
0.000 0.002 0.157 0.157 0.000 0.194 0.195
0.000 0.002 0.160 0.160 0.000 0.198 0.198
0.000 0.002 0.154 0.154 0.000 0.188 0.188
0.000 0.002 0.162 0.162 0.000 0.195 0.195
0.000 0.002 0.167 0.167 0.000 0.211 0.212
0.000 0.002 0.166 0.166 0.000 0.205 0.205
0.000 0.002 0.165 0.165 0.000 0.200 0.201
0.000 0.002 0.158 0.158 0.000 0.194 0.194
0.000 0.002 0.161 0.161 0.000 0.196 0.196
0.000 0.002 0.162 0.162 0.000 0.201 0.201
0.000 0.002 0.155 0.155 0.000 0.194 0.194
0.000 0.002 0.152 0.152 0.000 0.186 0.186
0.000 0.002 0.165 0.165 0.000 0.202 0.202
0.000 0.002 0.163 0.163 0.000 0.200 0.201
0.000 0.002 0.164 0.164 0.000 0.199 0.199
0.000 0.002 0.164 0.164 0.000 0.203 0.203
0.000 0.002 0.155 0.155 0.000 0.197 0.197
0.000 0.002 0.160 0.160 0.000 0.196 0.196
0.000 0.002 0.160 0.160 0.000 0.198 0.199
0.000 0.002 0.152 0.152 0.000 0.188 0.188
0.000 0.002 0.176 0.176 0.000 0.213 0.214
0.000 0.002 0.158 0.158 0.000 0.196 0.197
0.000 0.002 0.155 0.155 0.000 0.192 0.192
0.000 0.002 0.164 0.165 0.000 0.201 0.201
0.000 0.002 0.162 0.162 0.000 0.198 0.198
0.000 0.002 0.178 0.178 0.000 0.213 0.213
0.000 0.002 0.163 0.163 0.000 0.209 0.209
0.000 0.002 0.162 0.163 0.000 0.196 0.196
0.000 0.002 0.150 0.150 0.000 0.194 0.194
0.000 0.002 0.164 0.164 0.000 0.200 0.200
0.000 0.002 0.165 0.165 0.000 0.202 0.202
0.000 0.002 0.156 0.157 0.000 0.189 0.189
0.000 0.002 0.156 0.156 0.000 0.194 0.194
0.000 0.002 0.162 0.162 0.000 0.203 0.204
0.000 0.002 0.164 0.164 0.000 0.206 0.206
0.000 0.002 0.151 0.151 0.000 0.188 0.188
0.000 0.002 0.170 0.170 0.000 0.206 0.207
0.000 0.002 0.157 0.157 0.000 0.194 0.194
0.000 0.002 0.169 0.169 0.000 0.204 0.204
0.000 0.002 0.172 0.172 0.000 0.206 0.207
0.000 0.002 0.163 0.163 0.000 0.198 0.198
0.000 0.002 0.161 0.161 0.000 0.198 0.198
0.000 0.002 0.178 0.178 0.000 0.213 0.213
0.000 0.002 0.156 0.156 0.000 0.195 0.195
0.000 0.002 0.150 0.150 0.000 0.187 0.187
0.000 0.002 0.156 0.156 0.000 0.196 0.196
0.000 0.002 0.161 0.161 0.000 0.204 0.205
0.000 0.002 0.153 0.153 0.000 0.199 0.199
0.000 0.002 0.157 0.157 0.000 0.194 0.194
0.000 0.002 0.160 0.160 0.000 0.201 0.201
0.000 0.002 0.163 0.163 0.000 0.198 0.198
0.000 0.002 0.163 0.163 0.000 0.201 0.201
0.000 0.002 0.161 0.161 0.000 0.196 0.196
0.000 0.002 0.154 0.154 0.000 0.192 0.192
0.000 0.002 0.156 0.156 0.000 0.193 0.193
0.000 0.002 0.161 0.161 0.000 0.198 0.198
0.000 0.002 0.154 0.154 0.000 0.196 0.196
0.000 0.002 0.158 0.158 0.000 0.193 0.193
0.000 0.002 0.158 0.158 0.000 0.192 0.192
0.000 0.002 0.159 0.159 0.000 0.198 0.198
0.000 0.002 0.152 0.152 0.000 0.196 0.196
0.000 0.002 0.154 0.154 0.000 0.190 0.190
0.000 0.002 0.155 0.155 0.000 0.189 0.189
0.000 0.002 0.156 0.156 0.000 0.196 0.196
0.000 0.002 0.156 0.156 0.000 0.192 0.192
0.000 0.002 0.160 0.160 0.000 0.198 0.198
0.000 0.002 0.162 0.162 0.000 0.195 0.195
0.000 0.002 0.155 0.155 0.000 0.189 0.229
0.000 0.002 0.170 0.170 0.000 0.206 0.206
0.000 0.002 0.157 0.157 0.000 0.195 0.234
0.000 0.002 0.163 0.163 0.000 0.197 0.197
0.000 0.002 0.159 0.159 0.000 0.194 0.194
0.000 0.002 0.162 0.162 0.000 0.197 0.197
0.000 0.002 0.154 0.155 0.000 0.193 0.193
0.000 0.002 0.146 0.146 0.000 0.182 0.183
0.000 0.002 0.162 0.162 0.000 0.195 0.195
0.000 0.002 0.153 0.153 0.000 0.190 0.190
0.000 0.002 0.170 0.170 0.000 0.206 0.206
0.000 0.002 0.156 0.156 0.000 0.194 0.195
0.000 0.002 0.167 0.167 0.000 0.213 0.213
0.000 0.002 0.162 0.162 0.000 0.198 0.198
0.000 0.002 0.166 0.166 0.000 0.203 0.203
0.000 0.002 0.162 0.162 0.000 0.201 0.202
0.000 0.002 0.155 0.155 0.000 0.190 0.190
0.000 0.003 0.161 0.161 0.000 0.195 0.195
0.000 0.002 0.152 0.152 0.000 0.192 0.192
0.000 0.002 0.162 0.162 0.000 0.197 0.197
0.000 0.002 0.160 0.160 0.000 0.194 0.194
0.000 0.002 0.165 0.165 0.000 0.200 0.200
0.000 0.002 0.157 0.157 0.000 0.205 0.205
0.000 0.002 0.158 0.158 0.000 0.196 0.196
0.000 0.002 0.164 0.164 0.000 0.198 0.198
0.000 0.002 0.163 0.163 0.000 0.199 0.199
0.000 0.002 0.158 0.158 0.000 0.201 0.201
0.000 0.002 0.157 0.157 0.000 0.196 0.196
0.000 0.002 0.164 0.164 0.000 0.204 0.205
0.000 0.002 0.158 0.158 0.000 0.196 0.196
0.000 0.002 0.163 0.163 0.000 0.199 0.200
0.000 0.002 0.156 0.156 0.000 0.195 0.195
0.000 0.002 0.163 0.163 0.000 0.198 0.198
0.000 0.002 0.158 0.158 0.000 0.194 0.194
0.000 0.002 0.155 0.156 0.000 0.191 0.191
0.000 0.002 0.158 0.158 0.000 0.193 0.193
0.000 0.002 0.153 0.153 0.000 0.192 0.192
0.000 0.002 0.154 0.154 0.000 0.193 0.194
0.000 0.002 0.152 0.152 0.000 0.190 0.190
0.000 0.002 0.163 0.163 0.000 0.200 0.200
0.000 0.002 0.155 0.155 0.000 0.495 0.496
0.000 0.002 0.161 0.161 0.000 0.377 0.377
0.000 0.002 0.173 0.173 0.000 0.397 0.397
0.000 0.002 0.171 0.171 0.000 0.479 0.479
0.000 0.002 0.137 0.137 0.000 0.459 0.459
0.000 0.002 0.159 0.159 0.000 0.503 0.503
0.000 0.002 0.160 0.160 0.000 0.440 0.440
0.000 0.003 0.181 0.181 0.000 0.566 0.566
0.000 0.002 0.149 0.149 0.000 0.539 0.540
0.000 0.002 0.159 0.159 0.000 0.374 0.374
0.000 0.002 0.164 0.164 0.000 0.545 0.545
0.000 0.002 0.164 0.164 0.000 0.460 0.460
0.000 0.002 0.161 0.161 0.000 0.648 0.648
0.000 0.002 0.160 0.161 0.000 0.652 0.652
0.000 0.002 0.179 0.179 0.000 0.655 0.655
0.000 0.002 0.185 0.185 0.000 0.417 0.417
0.000 0.002 0.163 0.163 0.000 0.452 0.452
0.000 0.002 0.174 0.174 0.000 0.584 0.584
0.000 0.002 0.156 0.156 0.000 0.441 0.441
0.000 0.002 0.167 0.167 0.000 0.607 0.607
0.000 0.002 0.165 0.165 0.000 0.442 0.442
0.000 0.002 0.168 0.168 0.000 0.418 0.418
0.000 0.002 0.158 0.158 0.000 0.414 0.414
0.000 0.002 0.173 0.173 0.000 0.662 0.662
0.000 0.002 0.157 0.157 0.000 0.599 0.599
0.000 0.002 0.189 0.189 0.000 0.535 0.535
0.000 0.002 0.177 0.177 0.000 0.431 0.431
0.000 0.002 0.156 0.156 0.000 0.493 0.493
0.000 0.002 0.163 0.163 0.000 0.584 0.584
0.000 0.002 0.163 0.163 0.000 0.409 0.409
0.000 0.002 0.156 0.156 0.000 0.491 0.491
0.000 0.002 0.169 0.169 0.000 0.470 0.470
0.000 0.002 0.161 0.161 0.000 0.583 0.583
0.000 0.002 0.157 0.157 0.000 0.654 0.654
0.000 0.002 0.171 0.171 0.000 0.618 0.619
0.000 0.002 0.170 0.170 0.000 0.625 0.625
0.000 0.002 0.163 0.163 0.000 0.440 0.440
0.000 0.002 0.166 0.166 0.000 0.453 0.453
0.000 0.002 0.160 0.160 0.000 0.425 0.425
0.000 0.002 0.177 0.177 0.000 0.572 0.572
0.000 0.002 0.180 0.180 0.000 0.554 0.554
0.000 0.002 0.177 0.177 0.000 0.404 0.404
0.000 0.002 0.170 0.170 0.000 0.420 0.420
0.000 0.002 0.167 0.167 0.000 0.532 0.532
0.000 0.002 0.164 0.164 0.000 0.616 0.616
0.000 0.002 0.166 0.166 0.000 0.423 0.423
0.000 0.002 0.169 0.169 0.000 0.418 0.418
0.000 0.002 0.166 0.166 0.000 0.530 0.530
0.000 0.002 0.163 0.163 0.000 0.529 0.529
0.000 0.002 0.169 0.169 0.000 0.493 0.493
0.000 0.002 0.165 0.165 0.000 0.481 0.481
0.000 0.002 0.189 0.189 0.000 0.399 0.399
0.000 0.002 0.172 0.172 0.000 0.582 0.582
0.000 0.002 0.161 0.161 0.000 0.649 0.649
0.000 0.002 0.167 0.167 0.000 0.597 0.597
0.000 0.002 0.171 0.171 0.000 0.671 0.671
0.000 0.002 0.158 0.158 0.000 0.418 0.418
0.000 0.002 0.164 0.165 0.000 0.533 0.533
0.000 0.002 0.163 0.163 0.000 0.561 0.562
0.000 0.002 0.166 0.167 0.000 0.509 0.509
0.000 0.002 0.166 0.167 0.000 0.654 0.654
0.000 0.002 0.172 0.172 0.000 0.643 0.643
0.000 0.002 0.167 0.167 0.000 0.485 0.485
0.000 0.002 0.160 0.160 0.000 0.495 0.495
0.000 0.002 0.170 0.171 0.000 0.676 0.676
0.000 0.002 0.167 0.167 0.000 0.448 0.448
0.000 0.002 0.162 0.162 0.000 0.613 0.613
0.000 0.002 0.158 0.158 0.000 0.622 0.622
0.000 0.002 0.155 0.155 0.000 0.407 0.407
0.000 0.002 0.168 0.168 0.000 0.502 0.502
0.000 0.002 0.161 0.161 0.000 0.392 0.392
0.000 0.002 0.164 0.164 0.000 0.608 0.608
0.000 0.002 0.161 0.162 0.000 0.430 0.430
0.000 0.002 0.175 0.175 0.000 0.469 0.470
0.000 0.002 0.181 0.181 0.000 0.416 0.416
0.000 0.002 0.165 0.165 0.000 0.614 0.614
0.000 0.002 0.158 0.158 0.000 0.456 0.456
0.000 0.002 0.169 0.169 0.000 0.585 0.585
0.000 0.002 0.163 0.163 0.000 0.467 0.468
0.000 0.002 0.163 0.163 0.000 0.409 0.409
0.000 0.002 0.167 0.167 0.000 0.457 0.457
0.000 0.002 0.165 0.165 0.000 0.572 0.572
0.000 0.002 0.169 0.169 0.000 0.615 0.615
0.000 0.002 0.167 0.167 0.000 0.429 0.429
0.000 0.002 0.171 0.171 0.000 0.506 0.506
0.000 0.002 0.165 0.165 0.000 0.487 0.487
0.000 0.002 0.170 0.170 0.000 0.388 0.388
0.000 0.002 0.171 0.171 0.000 0.439 0.439
0.000 0.002 0.162 0.162 0.000 0.579 0.579
0.000 0.002 0.166 0.166 0.000 0.605 0.605
0.000 0.002 0.163 0.163 0.000 0.408 0.408
0.000 0.002 0.156 0.156 0.000 0.648 0.648
0.000 0.002 0.163 0.163 0.000 0.442 0.442
0.000 0.002 0.161 0.161 0.000 0.426 0.427
0.000 0.002 0.169 0.169 0.000 0.428 0.428
0.000 0.002 0.163 0.163 0.000 0.559 0.559
0.000 0.002 0.165 0.166 0.000 0.555 0.555
0.000 0.002 0.168 0.168 0.000 0.458 0.458
0.000 0.002 0.152 0.152 0.000 0.556 0.556
0.000 0.002 0.159 0.159 0.000 0.484 0.484
0.000 0.002 0.170 0.170 0.000 0.510 0.510
0.000 0.002 0.162 0.162 0.000 0.629 0.630
0.000 0.002 0.165 0.165 0.000 0.385 0.385
0.000 0.002 0.166 0.166 0.000 0.658 0.658
0.000 0.002 0.177 0.177 0.000 0.635 0.635
0.000 0.002 0.159 0.159 0.000 0.499 0.499
0.000 0.002 0.150 0.150 0.000 0.607 0.607
0.000 0.002 0.162 0.162 0.000 0.606 0.606
0.000 0.002 0.158 0.158 0.000 0.478 0.478
0.000 0.002 0.165 0.165 0.000 0.605 0.605
0.000 0.002 0.163 0.163 0.000 0.418 0.418
0.000 0.002 0.158 0.158 0.000 0.421 0.421
0.000 0.002 0.162 0.162 0.000 0.488 0.488
