time_lookup time_connect time_appconnect time_pretransfer time_redirect timestarttransfer time_total
0.004 0.006 0.152 0.152 0.000 0.154 0.154
0.004 0.006 0.160 0.160 0.000 0.163 0.163
0.004 0.006 0.158 0.158 0.000 0.160 0.160
0.004 0.006 0.158 0.158 0.000 0.160 0.160
0.004 0.006 0.148 0.148 0.000 0.150 0.150
0.004 0.006 0.160 0.161 0.000 0.162 0.162
0.004 0.006 0.155 0.155 0.000 0.157 0.157
0.004 0.006 0.170 0.170 0.000 0.172 0.172
0.004 0.006 0.151 0.151 0.000 0.152 0.152
0.004 0.006 0.161 0.161 0.000 0.162 0.162
0.004 0.006 0.155 0.155 0.000 0.156 0.156
0.004 0.005 0.154 0.154 0.000 0.156 0.156
0.004 0.006 0.146 0.146 0.000 0.147 0.147
0.004 0.006 0.162 0.162 0.000 0.164 0.164
0.004 0.006 0.166 0.166 0.000 0.168 0.168
0.004 0.006 0.153 0.153 0.000 0.154 0.154
0.004 0.006 0.156 0.156 0.000 0.158 0.158
0.004 0.006 0.153 0.153 0.000 0.156 0.156
0.004 0.006 0.165 0.165 0.000 0.167 0.167
0.004 0.006 0.162 0.162 0.000 0.163 0.164
0.004 0.006 0.146 0.146 0.000 0.148 0.148
0.004 0.006 0.164 0.164 0.000 0.166 0.166
0.004 0.006 0.157 0.157 0.000 0.159 0.159
0.004 0.006 0.161 0.161 0.000 0.162 0.162
0.004 0.006 0.156 0.156 0.000 0.158 0.158
0.004 0.006 0.158 0.158 0.000 0.161 0.161
0.004 0.006 0.163 0.163 0.000 0.165 0.165
0.004 0.006 0.159 0.159 0.000 0.160 0.160
0.004 0.006 0.151 0.151 0.000 0.152 0.152
0.004 0.006 0.155 0.155 0.000 0.157 0.157
0.004 0.006 0.166 0.166 0.000 0.168 0.169
0.004 0.006 0.145 0.145 0.000 0.147 0.147
0.004 0.006 0.174 0.174 0.000 0.176 0.176
0.004 0.006 0.161 0.161 0.000 0.163 0.163
0.004 0.006 0.157 0.157 0.000 0.158 0.158
0.004 0.006 0.152 0.152 0.000 0.153 0.154
0.004 0.006 0.153 0.153 0.000 0.155 0.155
